Invoice Number,UID,LogType,Box ID,Scanned At,Updated At,Scanned By,Product Name,Batch Code,Size,Manufactured At,Expiry At,To,From,Remarks,Entry Type,Active,Organization,Company,Warehouse,Customer Code,Customer Name,SalesReturn,ReturnedFromSameCustomer,UniqueBoxId
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,UE-KFE-797,10-03-2025 14:31:22,10-03-2025 14:31:23,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/UE-KFE-797
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,AG-XYU-974,10-03-2025 14:31:23,10-03-2025 14:31:24,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/AG-XYU-974
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,WU-RWD-667,10-03-2025 14:31:25,10-03-2025 14:31:25,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/WU-RWD-667
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,AR-PTN-246,10-03-2025 14:31:26,10-03-2025 14:31:26,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/AR-PTN-246
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,PQ-PXM-994,10-03-2025 14:31:27,10-03-2025 14:31:27,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/PQ-PXM-994
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,CB-QAG-699,10-03-2025 14:31:30,10-03-2025 14:31:30,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/CB-QAG-699
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,TM-GNU-276,10-03-2025 14:31:32,10-03-2025 14:31:32,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/TM-GNU-276
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,DX-YHR-697,10-03-2025 14:32:19,10-03-2025 14:32:19,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/DX-YHR-697
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,DR-NFJ-742,10-03-2025 14:32:26,10-03-2025 14:32:26,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/DR-NFJ-742
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,VE-QQJ-792,10-03-2025 14:32:33,10-03-2025 14:32:33,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/VE-QQJ-792
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,BK-ETY-276,10-03-2025 14:32:41,10-03-2025 14:32:41,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/BK-ETY-276
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,NA-YJM-694,10-03-2025 14:32:51,10-03-2025 14:32:52,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/NA-YJM-694
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,NU-EDD-624,10-03-2025 14:32:57,10-03-2025 14:32:57,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/NU-EDD-624
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,QK-NXB-229,10-03-2025 14:33:42,10-03-2025 14:33:42,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/QK-NXB-229
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,EW-VDU-674,10-03-2025 14:33:51,10-03-2025 14:33:52,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/EW-VDU-674
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,BC-AMR-766,10-03-2025 14:33:55,10-03-2025 14:33:55,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/BC-AMR-766
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,DN-TJG-962,10-03-2025 14:34:37,10-03-2025 14:34:37,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/DN-TJG-962
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,UG-KCB-772,10-03-2025 14:34:43,10-03-2025 14:34:43,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/UG-KCB-772
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,DA-KHB-764,10-03-2025 14:34:48,10-03-2025 14:34:49,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/DA-KHB-764
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,NA-KHE-497,10-03-2025 14:35:38,10-03-2025 14:35:38,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/NA-KHE-497
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,FQ-GVW-499,10-03-2025 14:35:41,10-03-2025 14:35:41,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/FQ-GVW-499
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,XM-FRC-966,10-03-2025 14:35:43,10-03-2025 14:35:44,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/XM-FRC-966
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,PN-YHR-497,10-03-2025 14:36:33,10-03-2025 14:36:33,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/PN-YHR-497
FPTSAKL24-00313,FMC032025/AKL/O/132,OLC,JV-QDR-979,10-03-2025 14:36:37,10-03-2025 14:36:37,8956048215,CORAGEN,0000177580,300ML,09/12/2023,08/12/2025,RaamKay Crop Science Solutions Private Limited-RAIPUR,RaamKay Crop Science Solutions Private Limited-AKOLA NEW,,SCANNED,True,FMC,RAAMKAY CROP SCIENCE SOLUTIONS PRIVATE LIMITED,Akola,,,False,,FMC032025/AKL/O/132/JV-QDR-979
